channel_name,created_on,country,views,subscribers,number_of_videos,owner
Mercado Libre,2006-04-24T21:10:11Z,US,443590196,897000,457,ML
amazon,2005-09-24T12:58:17Z,US,331849996,733000,500,AMZN
